id,meanWi_before1970,meanSu_before1970,meanWi_after1990,meanSu_after1990,lat,long,elev
3415,-8.254069767,4.500775194,-6.855128205,5.666666667,47.25,9.35,2500
3416,1.508888889,18.53148148,2.869230769,19.848,46.25,6.13,416
3417,3.175396825,20.50238095,4.455128205,21.62133333,46,8.97,276
3419,6.876470588,27.47291667,7.167424242,28.50757576,36.18,37.22,393
3420,12.48148148,25.5127451,12.75,26.28787879,35.53,35.77,7
3422,8.651851852,31.675,8.518181818,32.42142857,35.32,40.15,212
3423,8.083333333,28.61190476,8.086363636,29.47333333,34.55,38.3,404
3424,7.473684211,25.76481481,7.868181818,27.14393939,33.42,36.52,605
3426,6.681481481,20.0962963,6.613461538,21.48933333,41.45,31.8,136
3427,8.237037037,21.53333333,8.027272727,23.54444444,42.03,35.17,32
3428,7.941333333,21.89861111,7.952564103,23.22133333,41.28,36.33,4
3430,4.477777778,20.33703704,3.872727273,21.37777778,41.17,41.82,30
3431,3.37804878,23.57479675,3.892307692,24.55133333,41.67,26.57,48
